grown						- виріс
eruption                    - виверження
volcanic                    - вулканічний
hiking                      - піші прогулянки/походи
lush                        - пишний
visitor                     - відвідувач
gypsies                     - цигани
stilts                      - ходулі
ancient                     - давній
trading center              - торговий центр
nomadic                     - кочовий
spectacular                 - видивищний
nearby                      - неподалік
souvenir                    - сувенір
donkey                      - осел
turquoise                   - бірюзовий
abandoned                   - покинутий
sandy                       - піщаний
chimneys                    - димарні
chimneys                    - димарі
traffic jams                - пробки
lush                        - пишні
nomadic tribe               - кочове плем'я
caves                       - печери
spectacular                 - видовищний
